Depot_ID,Depot_Name,District,Avg_EV_Suitability,Avg_Operational_Intensity,Avg_Passenger_Demand,Avg_Terrain_Score,Avg_Buses,Avg_Schedules,Avg_Passengers,Avg_Effective_KM,Total_Diesel_Litres,Total_CO2_Tonnes,Total_OPEX_Saving_INR,Total_EV_Energy_MWh,Terrain_Class,Annual_OPEX_Saving_INR,Annual_CO2_Avoided_Tonnes,Annual_EV_Energy_MWh,ML_Dominant_Category,EV_Suitable_Pct,Conditional_Pct,Diesel_Preferred_Pct,Suitability_Rank,OPEX_Rank,Passenger_Rank,KM_Rank,Operational_Rank,EV_Transition_Priority_Score,Final_Priority_Rank,ML_EV_Suitable_Pct,Avg_ML_Confidence
KSRTC-001,Thiruvananthapuram Central (Thampanoor),Thiruvananthapuram,0.8501990791062802,0.9942057669082126,0.6769873188405797,0.75,368.46666666666664,22.887,1179494.8166666667,1567387.4211666666,23049815.02,61773.507,2257037889.22,117554.056,Rolling,376172981.53666663,10295.584499999999,19592.342666666667,EV Suitable,100.0,0.0,0.0,0.9565217391304348,1.0,1.0,1.0,1.0,0.9869565217391305,1,100.0,1.0
KSRTC-061,Thrissur,Thrissur,0.8830038647342995,0.9699441425120773,0.8267726449275362,0.75,183.21666666666667,15.436,932852.5166666667,1021216.1678333334,15017884.82,40247.93,1470551281.66,76591.215,Rolling,245091880.27666667,6707.988333333334,12765.2025,EV Suitable,100.0,0.0,0.0,0.9891304347826086,0.9891304347826086,0.9782608695652174,0.9891304347826086,0.9782608695652174,0.9858695652173912,2,100.0,1.0
KSRTC-083,Sulthan Bathery,Wayanad,0.8883589145531402,0.9192219957729469,0.8291597222222222,0.9,120.91666666666667,10.365,658051.9,777486.7226666666,11433628.27,30642.127,1119580880.65,58311.511,Flat/Rolling,186596813.4416667,5107.021166666666,9718.585166666666,EV Suitable,100.0,0.0,0.0,1.0,0.9456521739130435,0.9456521739130435,0.9456521739130435,0.9456521739130435,0.9619565217391304,3,100.0,1.0
KSRTC-020,Kollam,Kollam,0.8727303517512078,0.922026645531401,0.7723900966183574,0.9,135.45,10.395999999999999,621897.4333333333,746831.075,10982809.92,29433.936,1075436748.5,56012.331,Flat/Rolling,179239458.08333334,4905.656,9335.3885,EV Suitable,100.0,0.0,0.0,0.9782608695652174,0.9347826086956522,0.8913043478260869,0.9347826086956522,0.9565217391304348,0.941304347826087,4,100.0,1.0
KSRTC-036,Kayamkulam,Alappuzha,0.8470110054347827,0.8684053442028986,0.7760277777777778,0.9,96.81666666666666,7.809,483578.38333333336,854991.531,12573404.87,33696.725,1231187805.77,64124.361000000004,Flat/Rolling,205197967.62833333,5616.120833333333,10687.3935,EV Suitable,98.33333333333333,1.6666666666666667,0.0,0.9456521739130435,0.9565217391304348,0.8804347826086957,0.9565217391304348,0.8913043478260869,0.9315217391304349,5,98.33333333333333,0.9974883559320632
KSRTC-068,Palakkad,Palakkad,0.8339583937198067,0.9228517512077296,0.7417750603864735,0.75,154.58333333333334,12.129333333333333,664491.95,649886.7471666667,9557158.04,25613.18,935836916.59,48741.504,Rolling,155972819.43166667,4268.863333333334,8123.584,EV Suitable,100.0,0.0,0.0,0.9239130434782609,0.9130434782608695,0.9565217391304348,0.9130434782608695,0.967391304347826,0.9304347826086956,6,100.0,1.0
KSRTC-029,Thiruvalla,Pathanamthitta,0.8372346844806764,0.7917849486714975,0.804474033816425,1.0,106.81666666666666,4.442333333333334,478456.88333333336,870732.2651666666,12804886.25,34317.096,1253854459.74,65304.92,Flat,208975743.29,5719.516,10884.153333333334,EV Suitable,98.33333333333333,1.6666666666666667,0.0,0.9347826086956522,0.967391304347826,0.8478260869565217,0.967391304347826,0.8695652173913043,0.9239130434782608,7,98.33333333333333,0.9949767118641264
KSRTC-054,Aluva,Ernakulam,0.8277619187801933,0.7523305404589372,0.9053221618357488,0.9,110.53333333333333,4.473333333333333,643583.7333333333,570297.9311666667,8386734.3,22476.45,821229023.85,42772.348,Flat/Rolling,136871503.975,3746.0750000000003,7128.724666666666,EV Suitable,100.0,0.0,0.0,0.9130434782608695,0.8913043478260869,0.9347826086956522,0.8913043478260869,0.8478260869565217,0.9021739130434783,8,100.0,1.0
KSRTC-041,Kottayam,Kottayam,0.8599620471014493,0.8739311594202899,0.8099882246376812,0.9,116.06666666666666,10.598666666666668,624408.1333333333,541579.5033333333,7964404.46,21344.607,779874484.12,40618.464,Flat/Rolling,129979080.68666667,3557.4345,6769.744,EV Suitable,100.0,0.0,0.0,0.967391304347826,0.8478260869565217,0.9021739130434783,0.8478260869565217,0.9021739130434783,0.9,9,100.0,1.0
KSRTC-086,Kannur,Kannur,0.8276223505434783,0.8943820199275362,0.7681044685990338,0.75,129.48333333333332,11.9795,637220.1333333333,560869.5736666668,8248081.97,22104.858,807652187.86,42065.218,Rolling,134608697.97666666,3684.143,7010.8696666666665,EV Suitable,100.0,0.0,0.0,0.9021739130434783,0.8804347826086957,0.9239130434782609,0.8804347826086957,0.9239130434782609,0.9,10,100.0,1.0
